celsius_temperature,specific_heat_capacity
159.99,0.5261
160.13,0.5262
160.26,0.5262
160.38,0.5262
160.51,0.5263
160.64,0.5263
160.78,0.5263
160.91,0.5264
161.04,0.5266
161.17,0.5266
161.31,0.5267
161.43,0.5267
161.57,0.5268
161.70,0.5268
161.82,0.5267
161.96,0.5267
162.09,0.5267
162.22,0.5269
162.35,0.5270
162.48,0.5271
162.61,0.5271
162.75,0.5272
162.87,0.5274
163.01,0.5274
163.14,0.5273
163.27,0.5271
163.40,0.5270
163.53,0.5269
163.66,0.5269
163.80,0.5271
163.93,0.5271
164.05,0.5273
164.18,0.5274
164.32,0.5274
164.46,0.5275
164.59,0.5276
164.72,0.5276
164.85,0.5276
164.98,0.5276
165.11,0.5277
165.25,0.5279
165.38,0.5280
165.51,0.5280
165.64,0.5281
165.77,0.5282
165.90,0.5282
166.04,0.5283
166.16,0.5283
166.30,0.5283
166.44,0.5283
166.57,0.5283
166.70,0.5284
166.83,0.5285
166.97,0.5286
167.09,0.5286
167.23,0.5288
167.35,0.5288
167.49,0.5288
167.62,0.5287
167.75,0.5288
167.88,0.5290
168.01,0.5292
168.14,0.5291
168.28,0.5291
168.41,0.5291
168.53,0.5292
168.66,0.5293
168.80,0.5294
168.92,0.5295
169.05,0.5294
169.18,0.5295
169.31,0.5296
169.44,0.5296
169.57,0.5296
169.71,0.5296
169.84,0.5298
169.97,0.5298
170.11,0.5298
170.23,0.5298
170.36,0.5298
170.49,0.5299
170.62,0.5298
170.75,0.5299
170.89,0.5301
171.02,0.5301
171.15,0.5301
171.28,0.5301
171.41,0.5302
171.55,0.5304
171.68,0.5304
171.81,0.5305
171.94,0.5305
172.07,0.5306
172.20,0.5306
172.33,0.5306
172.46,0.5307
172.59,0.5308
172.72,0.5308
172.85,0.5308
172.99,0.5308
173.11,0.5309
173.25,0.5310
173.38,0.5310
173.51,0.5311
173.65,0.5310
173.78,0.5311
173.90,0.5313
174.04,0.5313
174.16,0.5313
174.30,0.5314
174.43,0.5315
174.56,0.5316
174.70,0.5316
174.82,0.5317
174.96,0.5318
175.09,0.5318
175.22,0.5318
175.35,0.5319
175.48,0.5319
175.62,0.5319
175.74,0.5320
175.88,0.5319
176.01,0.5319
176.14,0.5320
176.27,0.5320
176.40,0.5321
176.53,0.5321
176.67,0.5322
176.80,0.5322
176.94,0.5324
177.07,0.5324
177.20,0.5324
177.33,0.5325
177.47,0.5325
177.60,0.5325
177.73,0.5326
177.86,0.5326
177.99,0.5326
178.13,0.5326
178.26,0.5327
178.40,0.5327
178.53,0.5328
178.66,0.5328
178.79,0.5328
178.92,0.5328
179.06,0.5328
179.18,0.5329
179.32,0.5328
179.45,0.5328
179.58,0.5330
179.71,0.5330
179.85,0.5329
179.98,0.5330
180.11,0.5330
180.25,0.5330
180.38,0.5330
180.51,0.5330
180.65,0.5330
180.78,0.5330
180.91,0.5331
181.04,0.5331
181.17,0.5332
181.31,0.5333
181.44,0.5333
181.58,0.5333
181.70,0.5333
181.84,0.5334
181.97,0.5335
182.10,0.5336
182.23,0.5337
182.36,0.5337
182.49,0.5337
182.63,0.5337
182.76,0.5338
182.89,0.5338
183.02,0.5337
183.15,0.5337
183.28,0.5338
183.41,0.5338
183.54,0.5338
183.67,0.5339
183.80,0.5339
183.93,0.5339
184.06,0.5341
184.20,0.5341
184.33,0.5342
184.46,0.5342
184.59,0.5343
184.72,0.5343
184.86,0.5343
184.99,0.5344
185.12,0.5343
185.25,0.5343
185.38,0.5344
185.52,0.5346
185.65,0.5346
185.78,0.5345
185.92,0.5345
186.04,0.5346
186.18,0.5348
186.31,0.5348
186.44,0.5349
186.57,0.5350
186.70,0.5349
186.83,0.5349
186.96,0.5350
187.10,0.5349
187.23,0.5350
187.36,0.5352
187.49,0.5352
187.62,0.5352
187.75,0.5353
187.89,0.5353
188.02,0.5354
188.15,0.5354
188.28,0.5355
188.42,0.5356
188.55,0.5356
188.68,0.5357
188.82,0.5357
188.95,0.5357
189.08,0.5358
189.21,0.5358
189.34,0.5358
189.48,0.5359
189.61,0.5359
189.74,0.5360
189.87,0.5361
190.01,0.5362
190.14,0.5363
190.27,0.5363
190.40,0.5364
190.54,0.5364
190.66,0.5364
190.79,0.5365
190.93,0.5365
191.06,0.5365
191.19,0.5364
191.33,0.5364
191.46,0.5365
191.59,0.5366
191.73,0.5367
191.86,0.5367
191.99,0.5368
192.13,0.5368
192.26,0.5368
192.39,0.5368
192.52,0.5369
192.66,0.5369
192.79,0.5369
192.92,0.5370
193.06,0.5370
193.19,0.5370
193.32,0.5370
193.46,0.5369
193.58,0.5370
193.72,0.5371
193.85,0.5371
193.99,0.5371
194.12,0.5371
194.25,0.5370
194.38,0.5371
194.52,0.5371
194.65,0.5371
194.78,0.5371
194.92,0.5371
195.05,0.5372
195.18,0.5372
195.32,0.5372
195.45,0.5372
195.58,0.5372
195.71,0.5372
195.85,0.5372
195.98,0.5372
196.11,0.5372
196.25,0.5373
196.38,0.5373
196.51,0.5374
196.64,0.5374
196.76,0.5375
196.90,0.5376
197.03,0.5375
197.16,0.5376
197.29,0.5375
197.42,0.5375
197.56,0.5376
197.69,0.5376
197.82,0.5377
197.95,0.5377
198.09,0.5377
198.22,0.5377
198.34,0.5377
198.48,0.5377
198.61,0.5377
198.74,0.5377
198.87,0.5378
199.00,0.5379
199.14,0.5378
199.27,0.5378
199.40,0.5378
199.53,0.5379
199.66,0.5379
199.80,0.5379
199.93,0.5380
200.06,0.5380
200.19,0.5381
200.33,0.5381
200.45,0.5381
200.58,0.5380
200.72,0.5381
200.85,0.5382
200.98,0.5382
201.11,0.5382
201.24,0.5383
201.38,0.5383
201.51,0.5384
201.64,0.5384
201.78,0.5385
201.90,0.5385
202.04,0.5385
202.18,0.5386
202.30,0.5385
202.44,0.5386
202.57,0.5386
202.70,0.5387
202.83,0.5388
202.96,0.5389
203.10,0.5389
203.23,0.5389
203.36,0.5389
203.50,0.5390
203.63,0.5391
203.76,0.5391
203.89,0.5390
204.02,0.5391
204.16,0.5391
204.29,0.5392
204.42,0.5393
204.55,0.5392
204.69,0.5392
204.82,0.5393
204.95,0.5394
205.08,0.5395
205.22,0.5396
205.36,0.5396
205.48,0.5396
205.62,0.5396
205.75,0.5397
205.88,0.5398
206.01,0.5399
206.15,0.5399
206.28,0.5399
206.41,0.5400
206.55,0.5400
206.68,0.5400
206.81,0.5401
206.95,0.5401
207.08,0.5401
207.21,0.5401
207.34,0.5401
